Team,Rank,Ave,Points,Wins,Last Championship
Alabama,1,94.99,327.76,12,
Ohio State,2,94.98,321.68,10,
LSU,3,92.75,295.47,6,
Georgia,4,93.49,294.42,12,
Clemson,5,94.01,291.06,9,
Oregon,6,92.36,287.29,10,
USC,7,91.77,280.61,4,
Texas A&M,8,91.7,279.02,8,
Notre Dame,9,89.68,269.05,11,
Oklahoma,10,93.18,267.8,10,
Miami,11,90.51,266.08,7,
Florida,12,90.3,262.77,6,
Michigan,13,89.99,260.53,12,
North Carolina,14,90.87,256.55,6,
Texas,15,89,247.46,5,
Wisconsin,16,89.04,240.73,8,
Ole Miss,17,87.96,234.52,10,
Maryland,18,87.37,230.24,6,
Auburn,19,88.25,224.2,6,
Nebraska,20,87.64,216.47,3,
Penn State,21,89.07,216.37,7,
Florida State,22,87.98,216.37,5,
Tennessee,23,88.57,215.79,7,
Iowa,24,87.77,213.85,10,
Arkansas,25,87.19,213.15,8,
,,,,,
Mississippi State,26,86.18,210.97,7,
Missouri,27,86.79,210.68,6,
California,28,87.11,209.23,5,
Pittsburgh,29,86.64,209.14,11,
Oklahoma State,30,86.6,207.3,10,
UCLA,31,87.54,206.5,8,
Virginia,32,86.03,206.33,6,
Utah,33,87.27,205.89,10,
Kentucky,34,87.13,204.99,9,
NC State,35,86.03,203.31,9,
Washington,36,87.93,201.75,4,
Boston College,37,85.38,201.65,6,
Minnesota,38,87.17,199.38,8,
Rutgers,39,85.7,199.26,5,
Louisville,40,85.87,196.31,6,
Baylor,41,86.6,195.6,11,
West Virginia,42,87.21,195.05,6,
Stanford,43,86.55,194.69,3,
Virginia Tech,44,85.12,191.39,6,
Cincinnati,45,85.24,190.66,13,
Michigan State,46,85.65,190.6,10,
Memphis,47,84.8,187.31,6,
Georgia Tech,48,86.42,186.81,3,
Vanderbilt,49,84.78,184.42,2,
Northwestern,50,86.26,184.3,3,
San Diego St,62,83.1,170.8,11,
LA Lafayette,69,83.53,163.32,12,
BYU,71,83.86,163.01,10,
,,,,,
Houston,85,84.59,149.65,11,
